### Graph based on Mycielski transformation. 
### Triangle free (clique number 2) but increasing coloring number
### Graph (191,2360)

param n := 191; 
param quadcostlevel := 0.01;
param linear_cost1 := 0.1;
param linear_cost2 := 0.1;

########Cost matrices and vectors##########

for {i in V}
    for{j in V}
        {let Q1[i,j] := 0; let Q2[i,j] := 0;
        if (i==j) then {let Q1[i,j]:=quadcostlevel*4; let Q2_fix[i,j]:= quadcostlevel;}
        else {if(j==i+1 or j==i-1) then {let Q1[i,j]:=-quadcostlevel; let Q2_fix[i,j]:=-quadcostlevel;}}
        }

for {i in V}
    {let q1[i] := linear_cost1; let q2_fix[i] := linear_cost2;}

#######Adjacency matrix########
for {i in V}
    for{j in V}
        let M[i,j] :=0;
let M[2,119] :=1;
let M[2,121] :=1;
let M[2,124] :=1;
let M[2,126] :=1;
let M[2,130] :=1;
let M[2,132] :=1;
let M[2,135] :=1;
let M[2,137] :=1;
let M[2,143] :=1;
let M[2,145] :=1;
let M[2,148] :=1;
let M[2,150] :=1;
let M[2,154] :=1;
let M[2,156] :=1;
let M[2,159] :=1;
let M[2,161] :=1;
let M[2,166] :=1;
let M[2,168] :=1;
let M[2,171] :=1;
let M[2,173] :=1;
let M[2,177] :=1;
let M[2,179] :=1;
let M[2,182] :=1;
let M[2,184] :=1;
let M[3,5] :=1;
let M[3,7] :=1;
let M[3,10] :=1;
let M[3,13] :=1;
let M[3,16] :=1;
let M[3,18] :=1;
let M[3,21] :=1;
let M[3,25] :=1;
let M[3,28] :=1;
let M[3,30] :=1;
let M[3,33] :=1;
let M[3,36] :=1;
let M[3,39] :=1;
let M[3,41] :=1;
let M[3,44] :=1;
let M[3,49] :=1;
let M[3,52] :=1;
let M[3,54] :=1;
let M[3,57] :=1;
let M[3,60] :=1;
let M[3,63] :=1;
let M[3,65] :=1;
let M[3,68] :=1;
let M[3,72] :=1;
let M[3,75] :=1;
let M[3,77] :=1;
let M[3,80] :=1;
let M[3,83] :=1;
let M[3,86] :=1;
let M[3,88] :=1;
let M[3,91] :=1;
let M[3,97] :=1;
let M[3,100] :=1;
let M[3,102] :=1;
let M[3,105] :=1;
let M[3,108] :=1;
let M[3,111] :=1;
let M[3,113] :=1;
let M[3,116] :=1;
let M[3,120] :=1;
let M[3,123] :=1;
let M[3,125] :=1;
let M[3,128] :=1;
let M[3,131] :=1;
let M[3,134] :=1;
let M[3,136] :=1;
let M[3,139] :=1;
let M[3,144] :=1;
let M[3,147] :=1;
let M[3,149] :=1;
let M[3,152] :=1;
let M[3,155] :=1;
let M[3,158] :=1;
let M[3,160] :=1;
let M[3,163] :=1;
let M[3,167] :=1;
let M[3,170] :=1;
let M[3,172] :=1;
let M[3,175] :=1;
let M[3,178] :=1;
let M[3,181] :=1;
let M[3,183] :=1;
let M[3,186] :=1;
let M[4,5] :=1;
let M[4,6] :=1;
let M[4,10] :=1;
let M[4,12] :=1;
let M[4,16] :=1;
let M[4,17] :=1;
let M[4,21] :=1;
let M[4,24] :=1;
let M[4,28] :=1;
let M[4,29] :=1;
let M[4,33] :=1;
let M[4,35] :=1;
let M[4,39] :=1;
let M[4,40] :=1;
let M[4,44] :=1;
let M[4,48] :=1;
let M[4,52] :=1;
let M[4,53] :=1;
let M[4,57] :=1;
let M[4,59] :=1;
let M[4,63] :=1;
let M[4,64] :=1;
let M[4,68] :=1;
let M[4,71] :=1;
let M[4,75] :=1;
let M[4,76] :=1;
let M[4,80] :=1;
let M[4,82] :=1;
let M[4,86] :=1;
let M[4,87] :=1;
let M[4,91] :=1;
let M[4,96] :=1;
let M[4,100] :=1;
let M[4,101] :=1;
let M[4,105] :=1;
let M[4,107] :=1;
let M[4,111] :=1;
let M[4,112] :=1;
let M[4,116] :=1;
let M[4,119] :=1;
let M[4,123] :=1;
let M[4,124] :=1;
let M[4,128] :=1;
let M[4,130] :=1;
let M[4,134] :=1;
let M[4,135] :=1;
let M[4,139] :=1;
let M[4,143] :=1;
let M[4,147] :=1;
let M[4,148] :=1;
let M[4,152] :=1;
let M[4,154] :=1;
let M[4,158] :=1;
let M[4,159] :=1;
let M[4,163] :=1;
let M[4,166] :=1;
let M[4,170] :=1;
let M[4,171] :=1;
let M[4,175] :=1;
let M[4,177] :=1;
let M[4,181] :=1;
let M[4,182] :=1;
let M[4,186] :=1;
let M[5,8] :=1;
let M[5,9] :=1;
let M[5,14] :=1;
let M[5,15] :=1;
let M[5,19] :=1;
let M[5,20] :=1;
let M[5,26] :=1;
let M[5,27] :=1;
let M[5,31] :=1;
let M[5,32] :=1;
let M[5,37] :=1;
let M[5,38] :=1;
let M[5,42] :=1;
let M[5,43] :=1;
let M[5,50] :=1;
let M[5,51] :=1;
let M[5,55] :=1;
let M[5,56] :=1;
let M[5,61] :=1;
let M[5,62] :=1;
let M[5,66] :=1;
let M[5,67] :=1;
let M[5,73] :=1;
let M[5,74] :=1;
let M[5,78] :=1;
let M[5,79] :=1;
let M[5,84] :=1;
let M[5,85] :=1;
let M[5,89] :=1;
let M[5,90] :=1;
let M[5,98] :=1;
let M[5,99] :=1;
let M[5,103] :=1;
let M[5,104] :=1;
let M[5,109] :=1;
let M[5,110] :=1;
let M[5,114] :=1;
let M[5,115] :=1;
let M[5,121] :=1;
let M[5,122] :=1;
let M[5,126] :=1;
let M[5,127] :=1;
let M[5,132] :=1;
let M[5,133] :=1;
let M[5,137] :=1;
let M[5,138] :=1;
let M[5,145] :=1;
let M[5,146] :=1;
let M[5,150] :=1;
let M[5,151] :=1;
let M[5,156] :=1;
let M[5,157] :=1;
let M[5,161] :=1;
let M[5,162] :=1;
let M[5,168] :=1;
let M[5,169] :=1;
let M[5,173] :=1;
let M[5,174] :=1;
let M[5,179] :=1;
let M[5,180] :=1;
let M[5,184] :=1;
let M[5,185] :=1;
let M[6,11] :=1;
let M[6,13] :=1;
let M[6,15] :=1;
let M[6,22] :=1;
let M[6,25] :=1;
let M[6,27] :=1;
let M[6,34] :=1;
let M[6,36] :=1;
let M[6,38] :=1;
let M[6,45] :=1;
let M[6,49] :=1;
let M[6,51] :=1;
let M[6,58] :=1;
let M[6,60] :=1;
let M[6,62] :=1;
let M[6,69] :=1;
let M[6,72] :=1;
let M[6,74] :=1;
let M[6,81] :=1;
let M[6,83] :=1;
let M[6,85] :=1;
let M[6,92] :=1;
let M[6,97] :=1;
let M[6,99] :=1;
let M[6,106] :=1;
let M[6,108] :=1;
let M[6,110] :=1;
let M[6,117] :=1;
let M[6,120] :=1;
let M[6,122] :=1;
let M[6,129] :=1;
let M[6,131] :=1;
let M[6,133] :=1;
let M[6,140] :=1;
let M[6,144] :=1;
let M[6,146] :=1;
let M[6,153] :=1;
let M[6,155] :=1;
let M[6,157] :=1;
let M[6,164] :=1;
let M[6,167] :=1;
let M[6,169] :=1;
let M[6,176] :=1;
let M[6,178] :=1;
let M[6,180] :=1;
let M[6,187] :=1;
let M[7,11] :=1;
let M[7,12] :=1;
let M[7,14] :=1;
let M[7,22] :=1;
let M[7,24] :=1;
let M[7,26] :=1;
let M[7,34] :=1;
let M[7,35] :=1;
let M[7,37] :=1;
let M[7,45] :=1;
let M[7,48] :=1;
let M[7,50] :=1;
let M[7,58] :=1;
let M[7,59] :=1;
let M[7,61] :=1;
let M[7,69] :=1;
let M[7,71] :=1;
let M[7,73] :=1;
let M[7,81] :=1;
let M[7,82] :=1;
let M[7,84] :=1;
let M[7,92] :=1;
let M[7,96] :=1;
let M[7,98] :=1;
let M[7,106] :=1;
let M[7,107] :=1;
let M[7,109] :=1;
let M[7,117] :=1;
let M[7,119] :=1;
let M[7,121] :=1;
let M[7,129] :=1;
let M[7,130] :=1;
let M[7,132] :=1;
let M[7,140] :=1;
let M[7,143] :=1;
let M[7,145] :=1;
let M[7,153] :=1;
let M[7,154] :=1;
let M[7,156] :=1;
let M[7,164] :=1;
let M[7,166] :=1;
let M[7,168] :=1;
let M[7,176] :=1;
let M[7,177] :=1;
let M[7,179] :=1;
let M[7,187] :=1;
let M[8,11] :=1;
let M[8,13] :=1;
let M[8,16] :=1;
let M[8,22] :=1;
let M[8,25] :=1;
let M[8,28] :=1;
let M[8,34] :=1;
let M[8,36] :=1;
let M[8,39] :=1;
let M[8,45] :=1;
let M[8,49] :=1;
let M[8,52] :=1;
let M[8,58] :=1;
let M[8,60] :=1;
let M[8,63] :=1;
let M[8,69] :=1;
let M[8,72] :=1;
let M[8,75] :=1;
let M[8,81] :=1;
let M[8,83] :=1;
let M[8,86] :=1;
let M[8,92] :=1;
let M[8,97] :=1;
let M[8,100] :=1;
let M[8,106] :=1;
let M[8,108] :=1;
let M[8,111] :=1;
let M[8,117] :=1;
let M[8,120] :=1;
let M[8,123] :=1;
let M[8,129] :=1;
let M[8,131] :=1;
let M[8,134] :=1;
let M[8,140] :=1;
let M[8,144] :=1;
let M[8,147] :=1;
let M[8,153] :=1;
let M[8,155] :=1;
let M[8,158] :=1;
let M[8,164] :=1;
let M[8,167] :=1;
let M[8,170] :=1;
let M[8,176] :=1;
let M[8,178] :=1;
let M[8,181] :=1;
let M[8,187] :=1;
let M[9,11] :=1;
let M[9,12] :=1;
let M[9,16] :=1;
let M[9,22] :=1;
let M[9,24] :=1;
let M[9,28] :=1;
let M[9,34] :=1;
let M[9,35] :=1;
let M[9,39] :=1;
let M[9,45] :=1;
let M[9,48] :=1;
let M[9,52] :=1;
let M[9,58] :=1;
let M[9,59] :=1;
let M[9,63] :=1;
let M[9,69] :=1;
let M[9,71] :=1;
let M[9,75] :=1;
let M[9,81] :=1;
let M[9,82] :=1;
let M[9,86] :=1;
let M[9,92] :=1;
let M[9,96] :=1;
let M[9,100] :=1;
let M[9,106] :=1;
let M[9,107] :=1;
let M[9,111] :=1;
let M[9,117] :=1;
let M[9,119] :=1;
let M[9,123] :=1;
let M[9,129] :=1;
let M[9,130] :=1;
let M[9,134] :=1;
let M[9,140] :=1;
let M[9,143] :=1;
let M[9,147] :=1;
let M[9,153] :=1;
let M[9,154] :=1;
let M[9,158] :=1;
let M[9,164] :=1;
let M[9,166] :=1;
let M[9,170] :=1;
let M[9,176] :=1;
let M[9,177] :=1;
let M[9,181] :=1;
let M[9,187] :=1;
let M[10,11] :=1;
let M[10,14] :=1;
let M[10,15] :=1;
let M[10,22] :=1;
let M[10,26] :=1;
let M[10,27] :=1;
let M[10,34] :=1;
let M[10,37] :=1;
let M[10,38] :=1;
let M[10,45] :=1;
let M[10,50] :=1;
let M[10,51] :=1;
let M[10,58] :=1;
let M[10,61] :=1;
let M[10,62] :=1;
let M[10,69] :=1;
let M[10,73] :=1;
let M[10,74] :=1;
let M[10,81] :=1;
let M[10,84] :=1;
let M[10,85] :=1;
let M[10,92] :=1;
let M[10,98] :=1;
let M[10,99] :=1;
let M[10,106] :=1;
let M[10,109] :=1;
let M[10,110] :=1;
let M[10,117] :=1;
let M[10,121] :=1;
let M[10,122] :=1;
let M[10,129] :=1;
let M[10,132] :=1;
let M[10,133] :=1;
let M[10,140] :=1;
let M[10,145] :=1;
let M[10,146] :=1;
let M[10,153] :=1;
let M[10,156] :=1;
let M[10,157] :=1;
let M[10,164] :=1;
let M[10,168] :=1;
let M[10,169] :=1;
let M[10,176] :=1;
let M[10,179] :=1;
let M[10,180] :=1;
let M[10,187] :=1;
let M[11,17] :=1;
let M[11,18] :=1;
let M[11,19] :=1;
let M[11,20] :=1;
let M[11,21] :=1;
let M[11,29] :=1;
let M[11,30] :=1;
let M[11,31] :=1;
let M[11,32] :=1;
let M[11,33] :=1;
let M[11,40] :=1;
let M[11,41] :=1;
let M[11,42] :=1;
let M[11,43] :=1;
let M[11,44] :=1;
let M[11,53] :=1;
let M[11,54] :=1;
let M[11,55] :=1;
let M[11,56] :=1;
let M[11,57] :=1;
let M[11,64] :=1;
let M[11,65] :=1;
let M[11,66] :=1;
let M[11,67] :=1;
let M[11,68] :=1;
let M[11,76] :=1;
let M[11,77] :=1;
let M[11,78] :=1;
let M[11,79] :=1;
let M[11,80] :=1;
let M[11,87] :=1;
let M[11,88] :=1;
let M[11,89] :=1;
let M[11,90] :=1;
let M[11,91] :=1;
let M[11,101] :=1;
let M[11,102] :=1;
let M[11,103] :=1;
let M[11,104] :=1;
let M[11,105] :=1;
let M[11,112] :=1;
let M[11,113] :=1;
let M[11,114] :=1;
let M[11,115] :=1;
let M[11,116] :=1;
let M[11,124] :=1;
let M[11,125] :=1;
let M[11,126] :=1;
let M[11,127] :=1;
let M[11,128] :=1;
let M[11,135] :=1;
let M[11,136] :=1;
let M[11,137] :=1;
let M[11,138] :=1;
let M[11,139] :=1;
let M[11,148] :=1;
let M[11,149] :=1;
let M[11,150] :=1;
let M[11,151] :=1;
let M[11,152] :=1;
let M[11,159] :=1;
let M[11,160] :=1;
let M[11,161] :=1;
let M[11,162] :=1;
let M[11,163] :=1;
let M[11,171] :=1;
let M[11,172] :=1;
let M[11,173] :=1;
let M[11,174] :=1;
let M[11,175] :=1;
let M[11,182] :=1;
let M[11,183] :=1;
let M[11,184] :=1;
let M[11,185] :=1;
let M[11,186] :=1;
let M[12,23] :=1;
let M[12,25] :=1;
let M[12,27] :=1;
let M[12,30] :=1;
let M[12,32] :=1;
let M[12,46] :=1;
let M[12,49] :=1;
let M[12,51] :=1;
let M[12,54] :=1;
let M[12,56] :=1;
let M[12,70] :=1;
let M[12,72] :=1;
let M[12,74] :=1;
let M[12,77] :=1;
let M[12,79] :=1;
let M[12,93] :=1;
let M[12,97] :=1;
let M[12,99] :=1;
let M[12,102] :=1;
let M[12,104] :=1;
let M[12,118] :=1;
let M[12,120] :=1;
let M[12,122] :=1;
let M[12,125] :=1;
let M[12,127] :=1;
let M[12,141] :=1;
let M[12,144] :=1;
let M[12,146] :=1;
let M[12,149] :=1;
let M[12,151] :=1;
let M[12,165] :=1;
let M[12,167] :=1;
let M[12,169] :=1;
let M[12,172] :=1;
let M[12,174] :=1;
let M[12,188] :=1;
let M[13,23] :=1;
let M[13,24] :=1;
let M[13,26] :=1;
let M[13,29] :=1;
let M[13,31] :=1;
let M[13,46] :=1;
let M[13,48] :=1;
let M[13,50] :=1;
let M[13,53] :=1;
let M[13,55] :=1;
let M[13,70] :=1;
let M[13,71] :=1;
let M[13,73] :=1;
let M[13,76] :=1;
let M[13,78] :=1;
let M[13,93] :=1;
let M[13,96] :=1;
let M[13,98] :=1;
let M[13,101] :=1;
let M[13,103] :=1;
let M[13,118] :=1;
let M[13,119] :=1;
let M[13,121] :=1;
let M[13,124] :=1;
let M[13,126] :=1;
let M[13,141] :=1;
let M[13,143] :=1;
let M[13,145] :=1;
let M[13,148] :=1;
let M[13,150] :=1;
let M[13,165] :=1;
let M[13,166] :=1;
let M[13,168] :=1;
let M[13,171] :=1;
let M[13,173] :=1;
let M[13,188] :=1;
let M[14,23] :=1;
let M[14,25] :=1;
let M[14,28] :=1;
let M[14,30] :=1;
let M[14,33] :=1;
let M[14,46] :=1;
let M[14,49] :=1;
let M[14,52] :=1;
let M[14,54] :=1;
let M[14,57] :=1;
let M[14,70] :=1;
let M[14,72] :=1;
let M[14,75] :=1;
let M[14,77] :=1;
let M[14,80] :=1;
let M[14,93] :=1;
let M[14,97] :=1;
let M[14,100] :=1;
let M[14,102] :=1;
let M[14,105] :=1;
let M[14,118] :=1;
let M[14,120] :=1;
let M[14,123] :=1;
let M[14,125] :=1;
let M[14,128] :=1;
let M[14,141] :=1;
let M[14,144] :=1;
let M[14,147] :=1;
let M[14,149] :=1;
let M[14,152] :=1;
let M[14,165] :=1;
let M[14,167] :=1;
let M[14,170] :=1;
let M[14,172] :=1;
let M[14,175] :=1;
let M[14,188] :=1;
let M[15,23] :=1;
let M[15,24] :=1;
let M[15,28] :=1;
let M[15,29] :=1;
let M[15,33] :=1;
let M[15,46] :=1;
let M[15,48] :=1;
let M[15,52] :=1;
let M[15,53] :=1;
let M[15,57] :=1;
let M[15,70] :=1;
let M[15,71] :=1;
let M[15,75] :=1;
let M[15,76] :=1;
let M[15,80] :=1;
let M[15,93] :=1;
let M[15,96] :=1;
let M[15,100] :=1;
let M[15,101] :=1;
let M[15,105] :=1;
let M[15,118] :=1;
let M[15,119] :=1;
let M[15,123] :=1;
let M[15,124] :=1;
let M[15,128] :=1;
let M[15,141] :=1;
let M[15,143] :=1;
let M[15,147] :=1;
let M[15,148] :=1;
let M[15,152] :=1;
let M[15,165] :=1;
let M[15,166] :=1;
let M[15,170] :=1;
let M[15,171] :=1;
let M[15,175] :=1;
let M[15,188] :=1;
let M[16,23] :=1;
let M[16,26] :=1;
let M[16,27] :=1;
let M[16,31] :=1;
let M[16,32] :=1;
let M[16,46] :=1;
let M[16,50] :=1;
let M[16,51] :=1;
let M[16,55] :=1;
let M[16,56] :=1;
let M[16,70] :=1;
let M[16,73] :=1;
let M[16,74] :=1;
let M[16,78] :=1;
let M[16,79] :=1;
let M[16,93] :=1;
let M[16,98] :=1;
let M[16,99] :=1;
let M[16,103] :=1;
let M[16,104] :=1;
let M[16,118] :=1;
let M[16,121] :=1;
let M[16,122] :=1;
let M[16,126] :=1;
let M[16,127] :=1;
let M[16,141] :=1;
let M[16,145] :=1;
let M[16,146] :=1;
let M[16,150] :=1;
let M[16,151] :=1;
let M[16,165] :=1;
let M[16,168] :=1;
let M[16,169] :=1;
let M[16,173] :=1;
let M[16,174] :=1;
let M[16,188] :=1;
let M[17,23] :=1;
let M[17,25] :=1;
let M[17,27] :=1;
let M[17,34] :=1;
let M[17,46] :=1;
let M[17,49] :=1;
let M[17,51] :=1;
let M[17,58] :=1;
let M[17,70] :=1;
let M[17,72] :=1;
let M[17,74] :=1;
let M[17,81] :=1;
let M[17,93] :=1;
let M[17,97] :=1;
let M[17,99] :=1;
let M[17,106] :=1;
let M[17,118] :=1;
let M[17,120] :=1;
let M[17,122] :=1;
let M[17,129] :=1;
let M[17,141] :=1;
let M[17,144] :=1;
let M[17,146] :=1;
let M[17,153] :=1;
let M[17,165] :=1;
let M[17,167] :=1;
let M[17,169] :=1;
let M[17,176] :=1;
let M[17,188] :=1;
let M[18,23] :=1;
let M[18,24] :=1;
let M[18,26] :=1;
let M[18,34] :=1;
let M[18,46] :=1;
let M[18,48] :=1;
let M[18,50] :=1;
let M[18,58] :=1;
let M[18,70] :=1;
let M[18,71] :=1;
let M[18,73] :=1;
let M[18,81] :=1;
let M[18,93] :=1;
let M[18,96] :=1;
let M[18,98] :=1;
let M[18,106] :=1;
let M[18,118] :=1;
let M[18,119] :=1;
let M[18,121] :=1;
let M[18,129] :=1;
let M[18,141] :=1;
let M[18,143] :=1;
let M[18,145] :=1;
let M[18,153] :=1;
let M[18,165] :=1;
let M[18,166] :=1;
let M[18,168] :=1;
let M[18,176] :=1;
let M[18,188] :=1;
let M[19,23] :=1;
let M[19,25] :=1;
let M[19,28] :=1;
let M[19,34] :=1;
let M[19,46] :=1;
let M[19,49] :=1;
let M[19,52] :=1;
let M[19,58] :=1;
let M[19,70] :=1;
let M[19,72] :=1;
let M[19,75] :=1;
let M[19,81] :=1;
let M[19,93] :=1;
let M[19,97] :=1;
let M[19,100] :=1;
let M[19,106] :=1;
let M[19,118] :=1;
let M[19,120] :=1;
let M[19,123] :=1;
let M[19,129] :=1;
let M[19,141] :=1;
let M[19,144] :=1;
let M[19,147] :=1;
let M[19,153] :=1;
let M[19,165] :=1;
let M[19,167] :=1;
let M[19,170] :=1;
let M[19,176] :=1;
let M[19,188] :=1;
let M[20,23] :=1;
let M[20,24] :=1;
let M[20,28] :=1;
let M[20,34] :=1;
let M[20,46] :=1;
let M[20,48] :=1;
let M[20,52] :=1;
let M[20,58] :=1;
let M[20,70] :=1;
let M[20,71] :=1;
let M[20,75] :=1;
let M[20,81] :=1;
let M[20,93] :=1;
let M[20,96] :=1;
let M[20,100] :=1;
let M[20,106] :=1;
let M[20,118] :=1;
let M[20,119] :=1;
let M[20,123] :=1;
let M[20,129] :=1;
let M[20,141] :=1;
let M[20,143] :=1;
let M[20,147] :=1;
let M[20,153] :=1;
let M[20,165] :=1;
let M[20,166] :=1;
let M[20,170] :=1;
let M[20,176] :=1;
let M[20,188] :=1;
let M[21,23] :=1;
let M[21,26] :=1;
let M[21,27] :=1;
let M[21,34] :=1;
let M[21,46] :=1;
let M[21,50] :=1;
let M[21,51] :=1;
let M[21,58] :=1;
let M[21,70] :=1;
let M[21,73] :=1;
let M[21,74] :=1;
let M[21,81] :=1;
let M[21,93] :=1;
let M[21,98] :=1;
let M[21,99] :=1;
let M[21,106] :=1;
let M[21,118] :=1;
let M[21,121] :=1;
let M[21,122] :=1;
let M[21,129] :=1;
let M[21,141] :=1;
let M[21,145] :=1;
let M[21,146] :=1;
let M[21,153] :=1;
let M[21,165] :=1;
let M[21,168] :=1;
let M[21,169] :=1;
let M[21,176] :=1;
let M[21,188] :=1;
let M[22,23] :=1;
let M[22,29] :=1;
let M[22,30] :=1;
let M[22,31] :=1;
let M[22,32] :=1;
let M[22,33] :=1;
let M[22,46] :=1;
let M[22,53] :=1;
let M[22,54] :=1;
let M[22,55] :=1;
let M[22,56] :=1;
let M[22,57] :=1;
let M[22,70] :=1;
let M[22,76] :=1;
let M[22,77] :=1;
let M[22,78] :=1;
let M[22,79] :=1;
let M[22,80] :=1;
let M[22,93] :=1;
let M[22,101] :=1;
let M[22,102] :=1;
let M[22,103] :=1;
let M[22,104] :=1;
let M[22,105] :=1;
let M[22,118] :=1;
let M[22,124] :=1;
let M[22,125] :=1;
let M[22,126] :=1;
let M[22,127] :=1;
let M[22,128] :=1;
let M[22,141] :=1;
let M[22,148] :=1;
let M[22,149] :=1;
let M[22,150] :=1;
let M[22,151] :=1;
let M[22,152] :=1;
let M[22,165] :=1;
let M[22,171] :=1;
let M[22,172] :=1;
let M[22,173] :=1;
let M[22,174] :=1;
let M[22,175] :=1;
let M[22,188] :=1;
let M[23,35] :=1;
let M[23,36] :=1;
let M[23,37] :=1;
let M[23,38] :=1;
let M[23,39] :=1;
let M[23,40] :=1;
let M[23,41] :=1;
let M[23,42] :=1;
let M[23,43] :=1;
let M[23,44] :=1;
let M[23,45] :=1;
let M[23,59] :=1;
let M[23,60] :=1;
let M[23,61] :=1;
let M[23,62] :=1;
let M[23,63] :=1;
let M[23,64] :=1;
let M[23,65] :=1;
let M[23,66] :=1;
let M[23,67] :=1;
let M[23,68] :=1;
let M[23,69] :=1;
let M[23,82] :=1;
let M[23,83] :=1;
let M[23,84] :=1;
let M[23,85] :=1;
let M[23,86] :=1;
let M[23,87] :=1;
let M[23,88] :=1;
let M[23,89] :=1;
let M[23,90] :=1;
let M[23,91] :=1;
let M[23,92] :=1;
let M[23,107] :=1;
let M[23,108] :=1;
let M[23,109] :=1;
let M[23,110] :=1;
let M[23,111] :=1;
let M[23,112] :=1;
let M[23,113] :=1;
let M[23,114] :=1;
let M[23,115] :=1;
let M[23,116] :=1;
let M[23,117] :=1;
let M[23,130] :=1;
let M[23,131] :=1;
let M[23,132] :=1;
let M[23,133] :=1;
let M[23,134] :=1;
let M[23,135] :=1;
let M[23,136] :=1;
let M[23,137] :=1;
let M[23,138] :=1;
let M[23,139] :=1;
let M[23,140] :=1;
let M[23,154] :=1;
let M[23,155] :=1;
let M[23,156] :=1;
let M[23,157] :=1;
let M[23,158] :=1;
let M[23,159] :=1;
let M[23,160] :=1;
let M[23,161] :=1;
let M[23,162] :=1;
let M[23,163] :=1;
let M[23,164] :=1;
let M[23,177] :=1;
let M[23,178] :=1;
let M[23,179] :=1;
let M[23,180] :=1;
let M[23,181] :=1;
let M[23,182] :=1;
let M[23,183] :=1;
let M[23,184] :=1;
let M[23,185] :=1;
let M[23,186] :=1;
let M[23,187] :=1;
let M[24,47] :=1;
let M[24,49] :=1;
let M[24,51] :=1;
let M[24,54] :=1;
let M[24,56] :=1;
let M[24,60] :=1;
let M[24,62] :=1;
let M[24,65] :=1;
let M[24,67] :=1;
let M[24,94] :=1;
let M[24,97] :=1;
let M[24,99] :=1;
let M[24,102] :=1;
let M[24,104] :=1;
let M[24,108] :=1;
let M[24,110] :=1;
let M[24,113] :=1;
let M[24,115] :=1;
let M[24,142] :=1;
let M[24,144] :=1;
let M[24,146] :=1;
let M[24,149] :=1;
let M[24,151] :=1;
let M[24,155] :=1;
let M[24,157] :=1;
let M[24,160] :=1;
let M[24,162] :=1;
let M[24,189] :=1;
let M[25,47] :=1;
let M[25,48] :=1;
let M[25,50] :=1;
let M[25,53] :=1;
let M[25,55] :=1;
let M[25,59] :=1;
let M[25,61] :=1;
let M[25,64] :=1;
let M[25,66] :=1;
let M[25,94] :=1;
let M[25,96] :=1;
let M[25,98] :=1;
