#Graph (80,508)

let M[35,58] := 1;
let M[35,57] := 1;
let M[36,29] := 1;
let M[37,29] := 1;
let M[37,77] := 1;
let M[37,66] := 1;
let M[37,9] := 1;
let M[37,72] := 1;
let M[37,30] := 1;
let M[37,6] := 1;
let M[37,35] := 1;
let M[37,55] := 1;
let M[37,58] := 1;
let M[37,15] := 1;
let M[37,78] := 1;
let M[37,64] := 1;
let M[37,57] := 1;
let M[37,44] := 1;
let M[37,59] := 1;
let M[37,22] := 1;
let M[37,10] := 1;
let M[37,20] := 1;
let M[37,5] := 1;
let M[37,39] := 1;
let M[37,17] := 1;
let M[37,31] := 1;
let M[37,61] := 1;
let M[37,46] := 1;
let M[37,3] := 1;
let M[37,28] := 1;
let M[37,43] := 1;
let M[37,53] := 1;
let M[37,70] := 1;
let M[37,14] := 1;
let M[37,75] := 1;
let M[37,2] := 1;
let M[37,67] := 1;
let M[37,60] := 1;
let M[37,62] := 1;
let M[38,79] := 1;
let M[38,72] := 1;
let M[38,19] := 1;
let M[38,66] := 1;
let M[38,9] := 1;
let M[38,7] := 1;
let M[38,34] := 1;
let M[38,68] := 1;
let M[38,48] := 1;
let M[38,52] := 1;
let M[38,15] := 1;
let M[39,22] := 1;
let M[39,10] := 1;
let M[39,20] := 1;
let M[39,5] := 1;
let M[39,17] := 1;
let M[39,37] := 1;
let M[40,3] := 1;
let M[40,63] := 1;
let M[40,69] := 1;
let M[40,25] := 1;
let M[40,27] := 1;
let M[40,73] := 1;
let M[40,33] := 1;
let M[41,14] := 1;
let M[42,11] := 1;
let M[42,72] := 1;
let M[43,13] := 1;
let M[43,78] := 1;
let M[43,28] := 1;
let M[43,37] := 1;
let M[44,74] := 1;
let M[44,28] := 1;
let M[44,35] := 1;
let M[44,55] := 1;
let M[44,58] := 1;
let M[44,18] := 1;
let M[44,48] := 1;
let M[44,37] := 1;
let M[44,59] := 1;
let M[44,57] := 1;
let M[44,3] := 1;
let M[45,76] := 1;
let M[45,29] := 1;
let M[46,28] := 1;
let M[46,3] := 1;
let M[46,37] := 1;
let M[46,54] := 1;
let M[47,9] := 1;
let M[47,72] := 1;
let M[47,34] := 1;
let M[47,7] := 1;
let M[47,4] := 1;
let M[47,19] := 1;
let M[47,66] := 1;
let M[48,34] := 1;
let M[48,6] := 1;
let M[48,35] := 1;
let M[48,55] := 1;
let M[48,16] := 1;
let M[48,58] := 1;
let M[48,38] := 1;
let M[48,15] := 1;
let M[48,57] := 1;
let M[48,44] := 1;
let M[48,18] := 1;
let M[50,68] := 1;
let M[50,4] := 1;
let M[50,19] := 1;
let M[50,79] := 1;
let M[50,9] := 1;
let M[50,66] := 1;
let M[50,34] := 1;
let M[50,7] := 1;
let M[50,72] := 1;
let M[51,57] := 1;
let M[52,38] := 1;
let M[53,37] := 1;
let M[54,3] := 1;
let M[54,46] := 1;
let M[55,48] := 1;
let M[55,72] := 1;
let M[55,16] := 1;
let M[55,6] := 1;
let M[55,28] := 1;
let M[55,44] := 1;
let M[55,37] := 1;
let M[55,35] := 1;
let M[55,58] := 1;
let M[55,57] := 1;
let M[56,8] := 1;
let M[57,6] := 1;
let M[57,72] := 1;
let M[57,16] := 1;
let M[57,35] := 1;
let M[57,55] := 1;
let M[57,58] := 1;
let M[57,18] := 1;
let M[57,59] := 1;
let M[57,48] := 1;
let M[57,15] := 1;
let M[57,28] := 1;
let M[57,37] := 1;
let M[57,51] := 1;
let M[57,76] := 1;
let M[57,3] := 1;
let M[57,44] := 1;
let M[58,48] := 1;
let M[58,72] := 1;
let M[58,16] := 1;
let M[58,6] := 1;
let M[58,28] := 1;
let M[58,44] := 1;
let M[58,37] := 1;
let M[58,35] := 1;
let M[58,55] := 1;
let M[58,57] := 1;
let M[59,29] := 1;
let M[59,77] := 1;
let M[59,28] := 1;
let M[59,30] := 1;
let M[59,26] := 1;
let M[59,57] := 1;
let M[59,33] := 1;
let M[59,15] := 1;
let M[59,64] := 1;
let M[59,37] := 1;
let M[59,44] := 1;
let M[60,3] := 1;
let M[60,37] := 1;
let M[61,37] := 1;
let M[62,37] := 1;
let M[63,3] := 1;
let M[63,40] := 1;
let M[63,69] := 1;
let M[63,25] := 1;
let M[63,27] := 1;
let M[63,73] := 1;
let M[63,33] := 1;
let M[64,28] := 1;
let M[64,59] := 1;
let M[64,37] := 1;
let M[65,14] := 1;
let M[66,37] := 1;
let M[66,38] := 1;
let M[66,68] := 1;
let M[66,50] := 1;
let M[66,79] := 1;
let M[66,9] := 1;
let M[66,7] := 1;
let M[66,72] := 1;
let M[66,47] := 1;
let M[66,19] := 1;
let M[66,4] := 1;
let M[66,34] := 1;
let M[66,15] := 1;
let M[67,37] := 1;
let M[68,19] := 1;
let M[68,66] := 1;
let M[68,79] := 1;
let M[68,50] := 1;
let M[68,38] := 1;
let M[68,7] := 1;
let M[68,72] := 1;
let M[68,4] := 1;
let M[68,15] := 1;
let M[68,9] := 1;
let M[68,34] := 1;
let M[69,3] := 1;
let M[69,63] := 1;
let M[69,40] := 1;
let M[69,25] := 1;
let M[69,27] := 1;
let M[69,73] := 1;
let M[69,33] := 1;
let M[70,37] := 1;
let M[72,37] := 1;
let M[72,15] := 1;
let M[72,38] := 1;
let M[72,28] := 1;
let M[72,47] := 1;
let M[72,50] := 1;
let M[72,4] := 1;
let M[72,19] := 1;
let M[72,79] := 1;
let M[72,9] := 1;
let M[72,66] := 1;
let M[72,7] := 1;
let M[72,34] := 1;
let M[72,68] := 1;
let M[72,57] := 1;
let M[72,55] := 1;
let M[72,16] := 1;
let M[72,58] := 1;
let M[72,6] := 1;
let M[72,11] := 1;
let M[72,42] := 1;
let M[72,8] := 1;
let M[73,3] := 1;
let M[73,63] := 1;
let M[73,40] := 1;
let M[73,69] := 1;
let M[73,25] := 1;
let M[73,27] := 1;
let M[73,33] := 1;
let M[74,44] := 1;
let M[74,77] := 1;
let M[75,37] := 1;
let M[75,2] := 1;
let M[75,14] := 1;
let M[76,15] := 1;
let M[76,45] := 1;
let M[76,57] := 1;
let M[77,37] := 1;
let M[77,59] := 1;
let M[77,26] := 1;
let M[77,23] := 1;
let M[77,15] := 1;
let M[77,29] := 1;
let M[77,74] := 1;
let M[78,37] := 1;
let M[78,43] := 1;
let M[79,15] := 1;
let M[79,38] := 1;
let M[79,68] := 1;
let M[79,50] := 1;
let M[79,4] := 1;
let M[79,19] := 1;
let M[79,9] := 1;
let M[79,66] := 1;
let M[79,34] := 1;
let M[79,7] := 1;
let M[79,72] := 1;
let M[80,14] := 1;
